Date,Lambda,Mu_Avg,Sigma_Avg
2021-01-04,0.059136128719678646,0.8642834826560234,0.3123589076930376
2021-02-02,0.09173744692616105,0.7658083462276941,0.3340344586762752
2021-03-04,0.3660781243184697,0.18113252902984053,0.3298843028209091
2021-04-06,0.18302123040774862,0.46080513738734674,0.30802256999477784
2021-05-05,0.31580714080639366,0.2188757510767955,0.28311143646694603
2021-06-10,0.2614209392467132,0.2902316872599206,0.27944611516903356
2021-07-09,0.2850172013604288,0.2663824924848582,0.289637816780679
2021-08-10,0.28500946157955065,0.2754041114050585,0.29943466186956835
2021-09-10,0.3298060053867956,0.2054751999171799,0.2897842887364255
2021-10-11,0.05103591855178329,0.885265463683386,0.3028783909948002
2021-11-10,0.07716830842110455,0.7555583644735212,0.3044816240648488
2021-12-09,0.18925552622588507,0.4525998200934575,0.311096206139582
2022-01-10,0.3340484713467574,0.1871280520297027,0.2712272838840582
2022-02-09,0.08348977785214245,0.6011727154192746,0.25092262120487163
2022-03-14,0.15977095905816807,0.463086608873291,0.2789790565538551
2022-04-12,0.06368335206392804,0.756750950066844,0.28152617281971587
2022-05-23,0.20412937456213798,0.42794544549611985,0.31450789967618387
2022-06-23,0.24762238598049258,0.30133718060145265,0.2711492174978231
2022-07-22,0.2548452458298697,0.3014705080855296,0.2809773050772121
2022-08-23,0.1954463131166625,0.3397171148994118,0.2400824326446284
2022-09-21,0.24026586713718215,0.3100024963681646,0.2692811406659037
2022-10-20,0.2782117041757269,0.23736601723172132,0.24898110344386765
2022-11-18,0.19434755622269306,0.36558339841355614,0.2570902100804041
2022-12-19,0.12512345791618212,0.4620478649893024,0.23758338788027242
2023-01-17,0.20053239830904296,0.3366445899780247,0.2434214368101825
2023-02-16,0.30642895921443913,0.19136476721516382,0.2342665298402597
2023-03-17,0.25536152325029476,0.24657049988977783,0.23039266017744353
2023-04-27,0.12137990587707904,0.4442134746102432,0.22441515496736683
2023-05-30,0.10734532534457095,0.48455909464981933,0.22876536751008827
2023-07-05,0.11034403072753189,0.44473960288478204,0.21307628746282292
2023-08-04,0.1544512981025342,0.333205841668557,0.19599110682437412
2023-09-05,0.36948687263905194,0.09650707819600783,0.1805832519628815
2023-10-05,0.13121912445137981,0.4047150962550555,0.21410978761633126
2023-11-03,0.0897256823202402,0.5568833778319388,0.24034787706109556
2023-12-04,0.11307740311066361,0.5343769894051115,0.25944595957582506
